NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TPG
Keegan Murray,Sacramento Kings,F,22.6,79,29.8,15.7,81,0.765,277,0.52,493,0.414,12.2,4.6,1.2,0.8,0.5,0.8
Mason Plumlee,Charlotte Hornets,F-C,33.1,56,28.5,15.7,256,0.605,396,0.669,0,0,12.2,9.6,3.7,0.6,0.6,1.5
Thomas Bryant,Los Angeles Lakers,C-F,25.7,41,21.3,18.2,108,0.741,251,0.697,50,0.44,12.1,6.8,0.7,0.3,0.6,0.7
Bones Hyland,Denver Nuggets,G,22.6,42,19.5,28.5,82,0.866,193,0.425,241,0.378,12.1,2,3,0.7,0.3,1.6
Caris LeVert,Cleveland Cavaliers,G,28.6,74,30.3,18.7,180,0.722,418,0.462,324,0.392,12.1,3.8,3.9,1,0.3,1.6
Jakob Poeltl,San Antonio Spurs,C,27.5,46,26.1,18.7,129,0.605,387,0.618,1,0,12.1,9,3.1,0.8,1.1,2.1
Marvin Bagley III,Detroit Pistons,F,24.1,41,23.7,20.3,108,0.75,309,0.583,62,0.274,12,6.4,0.9,0.4,0.7,1.1
Clint Capela,Atlanta Hawks,C,28.9,65,26.6,15.7,131,0.603,535,0.654,1,0,12,11,0.9,0.7,1.2,0.8
Saddiq Bey,Atlanta Hawks,F,24,24,25.6,17.2,29,0.862,100,0.55,122,0.402,11.8,4.8,1.3,0.7,0,0.7
Max Strus,Miami Heat,G-F,27,79,28.6,17.6,89,0.876,226,0.562,562,0.351,11.7,3.3,2.1,0.5,0.1,0.9
Lonnie Walker IV,Los Angeles Lakers,G-F,24.3,56,23.2,20.2,106,0.858,278,0.522,249,0.365,11.7,1.9,1.1,0.5,0.3,0.8
Zach Collins,San Antonio Spurs,F-C,25.4,63,22.9,21.2,142,0.761,401,0.571,147,0.374,11.6,6.4,2.9,0.6,0.8,2
Naz Reid,Minnesota Timberwolves,C-F,23.6,68,18.4,24.8,127,0.677,360,0.653,217,0.346,11.5,4.9,1.1,0.6,0.8,1.4
Josh RiCharlotte Hornetsrdson,San Antonio Spurs,G,29.6,42,23.7,20.6,60,0.883,199,0.518,207,0.357,11.5,2.8,3.3,1,0.3,1.5
Marcus Smart,Boston Celtics,G,29.1,61,32.1,17.8,118,0.746,260,0.519,342,0.336,11.5,3.1,6.3,1.5,0.4,2.3
Bruce Brooklyn Netswn,Denver Nuggets,G-F,26.6,79,28.5,17.7,148,0.764,471,0.548,253,0.36,11.4,4.1,3.3,1.1,0.6,1.6
Kyle Lowry,Miami Heat,G,37,54,31.6,16.8,135,0.859,175,0.509,309,0.346,11.4,4.1,5.1,1.1,0.4,1.9
John Wall,LA Clippers,G,32.6,34,22.2,27.1,113,0.681,229,0.459,109,0.303,11.4,2.7,5.2,0.8,0.4,2.4
Luke Kennard,Memphis Grizzlies,G,26.8,24,24.6,13.8,19,0.947,34,0.471,137,0.54,11.3,3.1,2.3,0.5,0,0.7
Isaiah Stewart,Detroit Pistons,F-C,21.9,50,28.3,17.3,149,0.738,236,0.542,205,0.327,11.3,8.1,1.4,0.4,0.7,1.4
Eric Gordon,LA Clippers,G,34.3,21,25,17.1,38,0.842,64,0.531,104,0.433,11.2,1.7,2.2,0.6,0.4,1
Marcus Morris Sr.,LA Clippers,F,33.6,65,28.1,17.6,87,0.782,336,0.482,307,0.365,11.2,4,1.8,0.6,0.3,0.9
Quentin Grimes,New York Knicks,G,22.9,70,29.8,14.4,97,0.794,192,0.635,397,0.383,11.1,3.3,2.1,0.7,0.4,1
Malik Beasley,Los Angeles Lakers,G,26.4,25,23.8,21,17,0.647,80,0.475,178,0.354,11,3.2,1.1,0.8,0,1.2
Corey Kispert,Washington Wizards,F,24.1,73,28.5,14.1,87,0.851,200,0.635,378,0.418,11,2.8,1.2,0.4,0.1,0.8
Cam Reddish,Portland Trail Blazers,F-G,23.6,20,27.6,17.9,42,0.833,88,0.568,88,0.318,11,2.9,1.9,1.2,0.3,1.6
Jeremy SoCharlotte Hornetsn,San Antonio Spurs,F,19.9,56,26,19.9,116,0.698,418,0.519,134,0.246,11,5.3,2.5,0.8,0.4,1.7
Reggie Jackson,LA Clippers,G,33,52,25.7,20.8,66,0.924,292,0.469,220,0.35,10.9,2.2,3.5,0.7,0.1,1.8
Kentavious Caldwell-Pope,Denver Nuggets,G,30.1,76,31.3,14.1,125,0.824,313,0.502,319,0.423,10.8,2.8,2.4,1.5,0.5,1.1
Bones Hyland,LA Clippers,G,22.6,13,19,26.1,20,0.75,56,0.446,70,0.357,10.8,3.4,3.5,0.8,0.2,1
Jaylen Nowell,Minnesota Timberwolves,G,23.8,65,19.3,25,99,0.778,393,0.542,231,0.29,10.8,2.6,2,0.6,0.1,1
Ivica Zubac,LA Clippers,C,26.1,75,28.6,14.8,238,0.697,505,0.636,2,0,10.8,10,1,0.4,1.3,1.5
Mike Conley,Utah Jazz,G,35.5,43,29.7,16.1,96,0.813,162,0.469,213,0.362,10.7,2.5,7.7,1,0.2,1.7
Talen Horton-Tucker,Utah Jazz,G,22.4,65,20.2,25.9,168,0.75,410,0.485,203,0.286,10.7,3.2,3.8,0.6,0.4,1.9
Julian Charlotte Hornetsmpagnie,San Antonio Spurs,F,21.8,14,19.9,19.1,13,0.846,41,0.585,71,0.423,10.6,3.6,0.5,0.4,0.4,0.8
Jalen McDaniels,Charlotte Hornets,F-C,25.2,56,26.7,17.4,104,0.846,292,0.534,202,0.322,10.6,4.8,2,1.2,0.5,1.4
VicToronto Raptors Oladipo,Miami Heat,G,30.9,41,26.4,20.8,79,0.747,187,0.471,204,0.319,10.5,3.1,3.4,1.3,0.3,2
Moritz Wagner,Orlando Magic,F-C,26,57,19.5,21.1,182,0.841,233,0.631,163,0.313,10.5,4.5,1.5,0.6,0.2,1.2
Grayson Allen,Milwaukee Bucks,G,27.5,72,27.4,14.6,126,0.905,191,0.518,366,0.399,10.4,3.3,2.3,0.9,0.2,1
Josh Hart,New York Knicks,G,28.1,24,30.2,12.4,57,0.789,97,0.619,51,0.529,10.3,6.9,3.6,1.4,0.5,1.5
Tyus Jones,Memphis Grizzlies,G,26.9,80,24.2,17.7,100,0.8,384,0.495,326,0.371,10.3,2.5,5.2,1,0.1,0.9
Monte Morris,Washington Wizards,G,27.8,62,27.4,15.6,77,0.831,311,0.543,204,0.382,10.3,3.4,5.3,0.7,0.2,1
Svi Mykhailiuk,Charlotte Hornets,G-F,25.8,18,21.8,18.9,32,0.656,64,0.484,79,0.43,10.3,2.2,2.6,0.7,0.2,1.1
Cameron Payne,Phoenix Suns,G,28.7,48,20.2,24.8,64,0.766,268,0.448,185,0.368,10.3,2.2,4.5,0.7,0.2,1.7
Patrick Williams,Chicago Bulls,F,21.6,81,28.4,15.8,105,0.857,396,0.5,276,0.417,10.3,4,1.2,0.9,0.9,1.2
San Antonio Spursdro Mamukelashvili,San Antonio Spurs,F-C,23.9,18,22.9,19.5,33,0.727,95,0.537,60,0.317,10.2,6.6,2.3,0.6,0.3,1.3
Doug McDermott,San Antonio Spurs,F,31.3,64,20.5,19.3,70,0.757,225,0.516,298,0.413,10.2,2.2,1.4,0.2,0.1,0.9
Killian Hayes,Detroit Pistons,G,21.7,75,28.2,20.4,104,0.817,519,0.428,278,0.277,10.1,2.8,6.2,1.4,0.4,2.2
De'Anthony Melton,Philadelphia 76ers,G,24.9,77,27.9,16.5,87,0.793,248,0.484,403,0.39,10.1,4.1,2.6,1.6,0.5,1.3
Aaron Nesmith,Indiana Pacers,G-F,23.5,72,24.9,16.8,139,0.835,271,0.491,311,0.367,10.1,3.8,1.3,0.8,0.4,1
Malaki Branham,San Antonio Spurs,F,19.9,65,23.5,19,68,0.824,347,0.533,248,0.302,10,2.7,2,0.5,0.1,1.1
Brandon Clarke,Memphis Grizzlies,F,26.6,56,19.5,17.7,137,0.723,343,0.665,6,0.167,10,5.5,1.3,0.6,0.7,1
Cam Thomas,Brooklyn Nets,G,21.5,56,16.2,27.4,166,0.861,302,0.464,125,0.36,10,1.7,1.4,0.3,0.1,1.1
Luka Samanic,Utah Jazz,F,23.2,6,21.9,17.9,12,0.667,20,0.7,23,0.348,10,4.7,2,0.8,0.3,1.3
Herbert Jones,New Orleans Pelicans,F,24.5,65,29.4,14.6,159,0.761,332,0.536,165,0.339,9.9,4.1,2.4,1.5,0.6,1.3
Jonathan KuMinnesota Timberwolvesga,Golden State Warriors,F,20.5,66,20.8,19.6,136,0.647,343,0.589,145,0.366,9.9,3.4,1.8,0.6,0.4,1.4
Onyeka Okongwu,Atlanta Hawks,F-C,22.3,79,23.1,15.1,194,0.784,479,0.647,11,0.273,9.9,7.2,1,0.7,1.4,1
Jalen Suggs,Orlando Magic,G,21.9,52,23.7,20.4,119,0.723,239,0.498,199,0.322,9.9,3,2.9,1.3,0.5,1.8
Al Horford,Boston Celtics,C-F,36.9,63,30.5,11.9,21,0.714,154,0.539,325,0.446,9.8,6.2,3,0.5,1,0.6
Shaedon Sharpe,Portland Trail Blazers,G,19.9,79,22.2,18.7,103,0.709,355,0.561,275,0.364,9.8,2.9,1.1,0.5,0.3,1
Caleb Martin,Miami Heat,F,27.5,70,29.5,14.5,113,0.805,311,0.543,235,0.357,9.7,4.9,1.7,1,0.4,1.1
Eugene Omoruyi,Detroit Pistons,F,26.1,17,21.9,19.7,47,0.723,76,0.526,58,0.293,9.7,3.5,1,0.8,0.2,1.1
Coby White,Chicago Bulls,G,23.1,73,23.5,17.9,70,0.871,248,0.54,342,0.371,9.7,2.9,2.8,0.7,0.1,1
Keita Bates-Diop,San Antonio Spurs,F,27.2,66,21.7,16.5,146,0.801,311,0.559,140,0.393,9.5,3.7,1.5,0.7,0.3,0.8
Rui HaChicago Bullsmura,Los Angeles Lakers,F,25.2,32,22.3,17.1,58,0.724,181,0.552,65,0.323,9.5,4.7,0.7,0.3,0.4,0.5
Josh Hart,Portland Trail Blazers,G,28.1,51,33.4,12.6,119,0.731,251,0.594,112,0.304,9.5,8.2,3.9,1.1,0.2,1.5
Isaiah Joe,Oklahoma City Thunder,G,23.8,73,19.1,17.7,100,0.82,114,0.553,394,0.409,9.5,2.4,1.2,0.7,0.1,0.5
Gabe Vincent,Miami Heat,G,26.8,67,26.1,17.5,77,0.883,216,0.509,349,0.335,9.5,2.2,2.5,0.9,0.1,1.4
T.J. Warren,Brooklyn Nets,F,29.6,26,18.9,20.9,33,0.818,152,0.566,48,0.333,9.5,2.8,1.1,0.6,0.3,0.7
Kyle Anderson,Minnesota Timberwolves,F-G,29.6,68,28.2,14.5,136,0.735,384,0.534,104,0.413,9.4,5.3,4.9,1.1,0.9,1.5
Chris Boucher,Toronto Raptors,F-C,30.2,75,20.1,18,166,0.759,334,0.584,189,0.328,9.4,5.5,0.4,0.6,0.8,0.5
Donte DiVincenzo,Golden State Warriors,G,26.2,71,26.4,15.1,69,0.812,160,0.525,373,0.397,9.4,4.5,3.4,1.3,0.1,1.5
Jalen Smith,Indiana Pacers,F-C,23.1,68,18.8,21,137,0.759,317,0.593,191,0.283,9.4,5.8,1,0.3,0.9,1.1
Hamidou Diallo,Detroit Pistons,G,24.7,56,17.8,21.9,148,0.588,354,0.593,21,0.238,9.3,3.5,1,0.9,0.3,1.3
Andrew Nembhard,Indiana Pacers,G-F,23.2,74,27.5,16.1,57,0.789,371,0.501,260,0.35,9.3,2.6,4.5,0.9,0.2,1.7
Denver Nuggetsi Avdija,Washington Wizards,F,22.3,76,26.6,16.7,165,0.739,347,0.53,232,0.297,9.2,6.4,2.8,0.9,0.4,1.6
Seth Curry,Brooklyn Nets,G,32.6,61,19.8,19.2,55,0.927,217,0.525,232,0.405,9.2,1.6,1.6,0.6,0.1,0.8
Jalen Duren,Detroit Pistons,C,19.4,66,24.8,14.3,157,0.611,391,0.655,2,0,9.2,8.7,1.1,0.7,0.9,1.3
Tari Eason,Houston Rockets,F,21.9,81,21.5,19.3,141,0.752,480,0.483,169,0.343,9.2,6,1,1.2,0.6,1.2
Walker Kessler,Utah Jazz,C,21.7,74,23,13.3,159,0.516,411,0.723,3,0.333,9.2,8.4,0.9,0.4,2.3,0.8
Precious AChicago Bullsuwa,Toronto Raptors,F,23.6,54,20.6,19.3,124,0.702,290,0.562,103,0.262,9.1,5.8,0.9,0.5,0.6,1.1
Bol Bol,Orlando Magic,C-F,23.4,69,21.4,18.1,107,0.766,356,0.638,110,0.273,9.1,5.8,0.9,0.4,1.2,1.6
Dorian Finney-Smith,Dallas Mavericks,F,29.9,40,32.2,12.8,40,0.75,93,0.559,217,0.355,9.1,4.7,1.5,1,0.5,0.9
Josh Green,Dallas Mavericks,G,22.4,60,25.7,14.6,94,0.723,213,0.643,169,0.402,9.1,3,1.7,0.7,0.1,1.2
Naji Marshall,New Orleans Pelicans,F,25.2,76,23.4,17.9,173,0.786,352,0.511,216,0.306,9.1,3.7,2.5,0.7,0.2,1.3
Jae'Sean Tate,Houston Rockets,F,27.4,31,21.8,18.8,69,0.725,183,0.53,46,0.283,9.1,3.8,2.7,0.7,0.2,1.5
San Antonio Spursti Aldama,Memphis Grizzlies,F-C,22.2,77,21.8,16,144,0.75,259,0.591,266,0.353,9,4.8,1.3,0.6,0.6,0.8
Jose Alvarado,New Orleans Pelicans,G,25,61,21.5,19.8,80,0.813,242,0.488,247,0.336,9,2.3,3,1.1,0.2,1.3
Daniel Gafford,Washington Wizards,F-C,24.5,78,20.6,15.2,187,0.679,395,0.732,0,0,9,5.6,1.1,0.4,1.3,1.1
Taurean Prince,Minnesota Timberwolves,F,29,53,21.8,17.2,74,0.851,177,0.554,188,0.383,9,2.4,1.6,0.5,0.3,1.3
Jeenathan Williams,Portland Trail Blazers,G,24.2,4,23.9,13.9,1,0,21,0.714,6,0.333,9,2.8,1.8,0.8,0.5,0.8
Terance Mann,LA Clippers,G-F,26.5,80,23.2,15.4,118,0.78,321,0.601,198,0.389,8.9,3.4,2.3,0.5,0.3,1
AJ Griffin,Atlanta Hawks,F,19.6,71,19.3,17.8,44,0.909,266,0.538,254,0.394,8.8,2.1,1,0.6,0.2,0.6
Royce O'Neale,Brooklyn Nets,F,29.8,76,31.7,13.6,69,0.725,174,0.379,419,0.389,8.8,5.1,3.7,0.9,0.6,1.5
Cedi Osman,Cleveland Cavaliers,F,28,76,20.2,18.2,105,0.695,215,0.567,311,0.373,8.8,2.3,1.5,0.4,0.1,0.7
Terrence Ross,Phoenix Suns,G-F,32.2,20,17.8,19.5,12,0.833,58,0.569,93,0.355,8.8,3.3,1.9,0.5,0.1,0.3
Denver Nuggetsnis Smith Jr.,Charlotte Hornets,G,25.4,54,25.7,17.6,106,0.736,341,0.475,111,0.216,8.8,3.1,4.8,1.4,0.5,1.5
Shaquille Harrison,Portland Trail Blazers,G,29.5,5,24,17.6,15,0.733,26,0.462,10,0.3,8.8,4.4,6,2.2,0.4,1.2
T.J. McConnell,Indiana Pacers,G,31,75,20.4,19.1,68,0.853,462,0.556,59,0.441,8.7,3.1,5.3,1.1,0.1,1.9
Mark Williams,Charlotte Hornets,C,21.3,42,19,16.8,91,0.692,241,0.627,0,0,8.7,7,0.4,0.6,1,0.9
Steven Adams,Memphis Grizzlies,C,29.7,42,27,14.6,129,0.364,262,0.599,1,0,8.6,11.5,2.3,0.9,1.1,1.9
Ayo Dosunmu,Chicago Bulls,G,23.2,79,26.2,14.8,81,0.815,375,0.584,185,0.314,8.6,2.7,2.6,0.8,0.3,1.3
Kevin Love,Cleveland Cavaliers,F-C,34.6,41,20,19.6,63,0.889,90,0.467,195,0.354,8.5,6.8,1.9,0.2,0.2,1.1
Landry Shamet,Phoenix Suns,G,26.1,39,20.2,18.9,50,0.88,97,0.371,194,0.371,8.5,1.6,2.2,0.7,0.1,0.9
Gabe York,Indiana Pacers,G,20,2,21.8,14.4,2,1,1,0,13,0.385,8.5,3,2,0.5,0,0
Draymond Green,Golden State Warriors,F,33.1,72,31.7,13.2,108,0.713,338,0.612,129,0.302,8.4,7.3,6.9,1,0.8,2.8
JaDenver Nuggets Hardy,Dallas Mavericks,G,20.8,47,14.5,26,77,0.818,161,0.453,149,0.416,8.4,1.8,1.3,0.4,0.1,1
Cam Reddish,New York Knicks,F-G,23.6,20,21.9,16.2,33,0.879,80,0.55,56,0.304,8.4,1.6,1,0.8,0.4,0.8
Gary Harris,Orlando Magic,G,28.6,48,24.7,12.6,30,0.9,89,0.494,218,0.431,8.3,2,1.2,0.9,0.3,0.6
Kevin Knox II,Portland Trail Blazers,F,23.7,20,16.3,22.1,23,0.739,76,0.579,61,0.328,8.3,3.5,0.9,0.5,0,0.9
Jarred Vanderbilt,Utah Jazz,F,24,52,24.1,14.1,102,0.657,254,0.606,57,0.333,8.3,7.8,2.7,1,0.3,1.3
Damion Lee,Phoenix Suns,G-F,30.5,73,20.2,16.4,102,0.902,201,0.433,244,0.451,8.2,3,1.3,0.4,0.1,1
Shake Milwaukee Buckston,Philadelphia 76ers,G-F,26.5,75,20.4,18.5,114,0.851,345,0.519,145,0.372,8.2,2.5,3.1,0.3,0.2,1.2
Georges Niang,Philadelphia 76ers,F,29.8,78,19.4,17,45,0.867,118,0.576,384,0.401,8.2,2.4,1,0.4,0.2,0.7
Grant Williams,Boston Celtics,F,24.4,78,26.1,13.1,122,0.77,183,0.546,291,0.395,8.2,4.6,1.7,0.5,0.4,1.1
Jevon Carter,Milwaukee Bucks,G,27.6,80,22.4,15.3,38,0.816,227,0.427,332,0.422,8.1,2.5,2.4,0.8,0.4,1
Aleksej Pokusevski,Oklahoma City Thunder,C,21.3,34,20.6,18.3,35,0.629,145,0.483,104,0.365,8.1,4.7,1.9,0.6,1.3,1.3
Nick RiCharlotte Hornetsrds,Charlotte Hornets,C,25.4,64,18.7,15.6,178,0.742,308,0.627,1,1,8.1,6.4,0.6,0.2,1.1,0.9
Terrence Ross,Orlando Magic,G-F,32.2,42,22.5,15.7,20,0.75,139,0.489,160,0.381,8,2,1.3,0.6,0.2,0.9
Kemba Walker,Dallas Mavericks,G,32.9,9,16,22.1,21,0.81,29,0.586,28,0.25,8,1.8,2.1,0.2,0.2,0.4
Robert Williams III,Boston Celtics,C-F,25.5,35,23.5,11.8,41,0.61,169,0.751,1,0,8,8.3,1.4,0.6,1.4,1
Kenrich Williams,Oklahoma City Thunder,G-F,28.4,53,22.8,13.7,39,0.436,212,0.608,134,0.373,8,4.9,2,0.8,0.3,0.6
OCharlotte Hornetsi Agbaji,Utah Jazz,G,23,58,20.4,15.6,69,0.812,148,0.541,225,0.36,7.9,2.1,1,0.3,0.3,0.7
Chris Duarte,Indiana Pacers,G,25.8,46,19.5,19,72,0.847,159,0.428,174,0.316,7.9,2.5,1.4,0.5,0.2,0.9
Duane Washington Wizardshington Jr.,Phoenix Suns,G,23,31,12.7,32.5,24,0.667,145,0.372,111,0.36,7.9,1.2,2,0.2,0.1,1.1
Jeff Green,Denver Nuggets,F,36.6,56,19.5,17,117,0.744,224,0.58,104,0.288,7.8,2.6,1.2,0.3,0.3,0.8
Luke Kennard,LA Clippers,G,26.8,35,20.7,15,20,0.95,79,0.494,132,0.447,7.8,2.4,1.1,0.5,0.1,0.9
Josh RiCharlotte Hornetsrdson,New Orleans Pelicans,G,29.6,22,22.9,14.8,21,0.762,59,0.475,84,0.393,7.8,2.3,1.6,1.3,0.4,1
Will Barton,Washington Wizards,G,32.3,40,19.6,19.4,45,0.778,147,0.395,137,0.38,7.7,2.8,2.4,0.4,0.3,1.1
R.J. Hampton,Detroit Pistons,G,22.2,20,19.3,17.8,39,0.667,60,0.483,63,0.365,7.7,2.4,1,0.6,0.3,1.1
Kevin Love,Miami Heat,F-C,34.6,20,20.5,18.4,28,0.857,37,0.622,97,0.289,7.7,5.7,2,0.5,0.3,1.2
Trey Lyles,Sacramento Kings,F,27.4,73,16.8,18.2,124,0.815,167,0.593,237,0.367,7.7,4.1,0.9,0.4,0.4,0.8
Pat Connaughton,Milwaukee Bucks,G,30.3,61,23.7,13.8,41,0.659,99,0.566,322,0.339,7.6,4.6,1.3,0.6,0.2,0.5
Joe Harris,Brooklyn Nets,G-F,31.6,74,20.6,14.3,28,0.643,107,0.551,333,0.426,7.6,2.2,1.4,0.5,0.2,0.6
Toronto Raptorsrey Craig,Phoenix Suns,F,32.3,78,24.9,13,45,0.711,246,0.52,253,0.391,7.5,5.4,1.5,0.6,0.8,0.9
Tre Mann,Oklahoma City Thunder,G,22.2,66,17.2,20.7,50,0.74,232,0.466,253,0.316,7.5,2.2,1.6,0.6,0.2,0.9
Reggie Jackson,Denver Nuggets,G,33,15,19.6,20.8,12,0.833,55,0.455,62,0.274,7.4,1.7,3.1,0.5,0.1,1.2
Kendrick Nunn,Washington Wizards,G,27.7,30,13.8,24.1,18,0.889,97,0.505,93,0.387,7.4,1.6,1.8,0.5,0.1,1
Mason Plumlee,LA Clippers,F-C,33.1,22,19.8,13.7,55,0.782,82,0.732,0,0,7.4,7,1.7,0.5,0.5,1.4
Dario Saric,Oklahoma City Thunder,F,29,20,13.7,20.2,32,0.844,53,0.623,46,0.391,7.4,3.3,0.9,0.4,0.1,1
Matisse Thybulle,Portland Trail Blazers,G-F,26.1,22,27.7,11.4,16,0.625,52,0.519,85,0.388,7.4,3.5,1.4,1.7,0.8,0.7
Delon Wright,Washington Wizards,G,31,50,24.4,12.9,60,0.867,172,0.564,120,0.342,7.4,3.6,3.9,1.8,0.3,0.9
Mo Bamba,Orlando Magic,C,24.9,40,17,16.3,51,0.686,106,0.594,108,0.398,7.3,4.6,1.1,0.3,1,0.6
Josh Okogie,Phoenix Suns,G,24.6,71,18.6,17.6,188,0.723,209,0.45,192,0.333,7.3,3.4,1.4,0.8,0.5,0.9
Mitchell Robinson,New York Knicks,C-F,25,58,26.9,9.9,118,0.492,270,0.681,0,0,7.3,9.2,0.9,0.9,1.8,0.7
Trendon Watford,Portland Trail Blazers,F,22.4,61,19.1,15.9,96,0.729,252,0.607,63,0.381,7.3,3.8,2.1,0.5,0.2,1.1
Jay Huff,Washington Wizards,C,25.6,7,13.6,17,16,0.938,13,0.692,12,0.5,7.3,3,1.4,0.4,0.6,0.7
Reggie Bullock,Dallas Mavericks,G-F,32.1,78,30.3,10,37,0.703,73,0.562,397,0.38,7.2,3.6,1.4,0.7,0.2,0.5
